Organism,Lineage
Listeria monocytogenes serotype 1/2a (strain 10403S),"Listeria monocytogenes serotype 1/2a, Listeria monocytogenes, Listeria, Listeriaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Invertebrate iridescent virus 3,"Chloriridovirus, Betairidovirinae, Iridoviridae, Pimascovirales, Megaviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565),"Cryptococcus neoformans var. neoformans, Cryptococcus neoformans, Cryptococcus neoformans species complex, Cryptococcus, Cryptococcaceae, Tremellales, Tremellomycetes, Agaricomycotina, Basidiomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110),"Bradyrhizobium diazoefficiens, Bradyrhizobium, Bradyrhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),"Mycobacterium tuberculosis complex, Mycobacterium, Mycobacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Legionella pneumophila (strain Lens),"Legionella, Legionellaceae, Legionellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Lactobacillus johnsonii (strain CNCM I-12250 / La1 / NCC 533),"Lactobacillus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Alkalilimnicola ehrlichii (strain ATCC BAA-1101 / DSM 17681 / MLHE-1),"Alkalilimnicola ehrlichii, Alkalilimnicola, Ectothiorhodospiraceae, Chromatiales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Pectobacterium carotovorum subsp. carotovorum (strain PC1),"Pectobacterium carotovorum, Pectobacterium, Pectobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Escherichia coli O1:K1 / APEC,NotFound
Xanthomonas campestris pv. campestris (strain B100),"Xanthomonas campestris, Xanthomonas, Xanthomonadaceae, Xanthomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Fervidobacterium nodosum (strain ATCC 35602 / DSM 5306 / Rt17-B1),"Fervidobacterium, Fervidobacteriaceae, Thermotogales, Thermotogae, Thermotogae, Bacteria, cellular organisms"
Acidianus filamentous virus 1 (isolate United States/Yellowstone),"Gammalipothrixvirus, Lipothrixviridae, Ligamenvirales, Tokiviricetes, Taleaviricota, Zilligvirae, Adnaviria, Viruses"
Artemia franciscana,"Artemia, Artemiidae, Anostraca, Sarsostraca, Branchiopoda, Crustacea, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),"Haemophilus influenzae, Haemophilus, Pasteurellaceae, Pasteurellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Zea mays,"Zea mays, Zea, Tripsacinae, Andropogoneae, Andropogonodae, Panicoideae, PACMAD clade, Poaceae, Poales, commelinids, Petrosaviidae, Liliopsida, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Paracentrotus lividus,"Paracentrotus, Echinidae, Echinidea, Camarodonta, Echinacea, Euechinoidea, Echinoidea, Echinozoa, Eleutherozoa, Echinodermata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Dehalococcoides mccartyi (strain ATCC BAA-2266 / KCTC 15142 / 195),"Dehalococcoides, Dehalococcoidaceae, Dehalococcoidales, Dehalococcoidia, Chloroflexi, Terrabacteria group, Bacteria, cellular organisms"
Candida albicans (strain SC5314 / ATCC MYA-2876),"Candida, Candida/Lodderomyces clade, Debaryomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Leucoraja erinacea,"Leucoraja, Rajidae, Rajiformes, Batoidea, Elasmobranchii, Chondrichthyes, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Lactococcus phage r1t,"unclassified Siphoviridae, Siphoviridae, Caudovirales, Caudoviricetes, Uroviricota, Heunggongvirae, Duplodnaviria, Viruses"
Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),"Kluyveromyces, Saccharomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H),"Methanothermobacter thermautotrophicus, Methanothermobacter, Methanobacteriaceae, Methanobacteriales, Methanobacteria, Methanomada group, Euryarchaeota, Archaea, cellular organisms"
Komagataella pastoris,"Komagataella, Phaffomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Pseudomonas fluorescens biotype C,"Pseudomonas fluorescens, Pseudomonas fluorescens group, Pseudomonas, Pseudomonadaceae, Pseudomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Alkalihalobacillus pseudofirmus (strain ATCC BAA-2126 / JCM 17055 / OF4),"Alkalihalophilus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / BCRC 80197 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161),"Acidobacterium, Acidobacteriaceae, Acidobacteriales, Acidobacteriia, Acidobacteria, Bacteria, cellular organisms"
Neopyropia yezoensis,"Neopyropia, Bangiaceae, Bangiales, Bangiophyceae, Rhodophyta, Eukaryota, cellular organisms"
Spiroplasma virus SpV1-R8A2 B,NotFound
Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),"Pyrococcus, Thermococcaceae, Thermococcales, Thermococci, Euryarchaeota, Archaea, cellular organisms"
Feline immunodeficiency virus (isolate Petaluma),"Lentivirus, Orthoretrovirinae, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae, Riboviria, Viruses"
Neisseria meningitidis serogroup B (strain MC58),"Neisseria meningitidis, Neisseria, Neisseriaceae, Neisseriales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Wickerhamomyces canadensis,"Wickerhamomyces, Phaffomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Bifidobacterium longum (strain NCC 2705),"Bifidobacterium longum, Bifidobacterium, Bifidobacteriaceae, Bifidobacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Sulfolobus islandicus rod-shaped virus 1,NotFound
Enterobacteria phage fd,"unclassified Inovirus, Inovirus, Inoviridae, Tubulavirales, Faserviricetes, Hofneiviricota, Loebvirae, Monodnaviria, Viruses"
Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466),"Streptococcus pneumoniae, Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Clostridium novyi (strain NT),"Clostridium, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Bombyx mori,"Bombyx, Bombycinae, Bombycidae, Bombycoidea, Obtectomera, Ditrysia, Heteroneura, Neolepidoptera, Glossata, Lepidoptera, Amphiesmenoptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Craterostigma plantagineum,"Craterostigma, Linderniaceae, Lamiales, lamiids, asterids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Saprolegnia monoica,"Saprolegnia, Saprolegniaceae, Saprolegniales, Oomycota, Stramenopiles, Sar, Eukaryota, cellular organisms"
Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2),"Saccharolobus, Sulfolobaceae, Sulfolobales, Thermoprotei, Crenarchaeota, TACK group, Archaea, cellular organisms"
Prochlorococcus marinus (strain NATL2A),"Prochlorococcus, Prochlorococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Helicobacter pylori (strain J99 / ATCC 700824),"Helicobacter, Helicobacteraceae, Campylobacterales, Epsilonproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Bacillus thuringiensis subsp. konkukian (strain 97-27),"Bacillus thuringiensis, Bacillus cereus group, Bacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Rubrivivax gelatinosus,"Rubrivivax, Burkholderiales genera incertae sedis, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809),"Haloarcula, Haloarculaceae, Halobacteriales, Halobacteria, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms"
Gallid herpesvirus 2 (strain GA),"Gallid alphaherpesvirus 2, Mardivirus, Alphaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Staphylococcus epidermidis,"Staphylococcus, Staphylococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Methanococcus maripaludis (strain S2 / LL),"Methanococcus, Methanococcaceae, Methanococcales, Methanococci, Methanomada group, Euryarchaeota, Archaea, cellular organisms"
Sinorhizobium fredii (strain NBRC 101917 / NGR234),"Rhizobium fredii, Sinorhizobium fredii group, Sinorhizobium, Sinorhizobium/Ensifer group, Rhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Pneumococcus phage Dp-1,"unclassified Siphoviridae, Siphoviridae, Caudovirales, Caudoviricetes, Uroviricota, Heunggongvirae, Duplodnaviria, Viruses"
Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958),"Magnaporthe oryzae, Pyricularia, Pyriculariaceae, Magnaporthales, Sordariomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Fusobacterium nucleatum subsp. nucleatum (strain ATCC 23726 / VPI 4351),"Fusobacterium nucleatum, Fusobacterium, Fusobacteriaceae, Fusobacteriales, Fusobacteriia, Fusobacteria, Bacteria, cellular organisms"
Rhizobium fredii,"Sinorhizobium fredii group, Sinorhizobium, Sinorhizobium/Ensifer group, Rhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Nitrosospira multiformis (strain ATCC 25196 / NCIMB 11849 / C 71),"Nitrosospira, Nitrosomonadaceae, Nitrosomonadales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Guillardia theta,"Guillardia, Geminigeraceae, Pyrenomonadales, Cryptophyceae, Eukaryota, cellular organisms"
Pyrobaculum islandicum (strain DSM 4184 / JCM 9189 / GEO3),"Pyrobaculum, Thermoproteaceae, Thermoproteales, Thermoprotei, Crenarchaeota, TACK group, Archaea, cellular organisms"
Cocksfoot mottle virus (isolate Dactylis glomerata/Norway/CfMV-NO/1995),"Sobemovirus, Solemoviridae, Sobelivirales, Pisoniviricetes, Pisuviricota, Orthornavirae, Riboviria, Viruses"
Cochliobolus heterostrophus (strain C4 / ATCC 48331 / race T),"Bipolaris, Pleosporaceae, Pleosporineae, Pleosporales, Pleosporomycetidae, Dothideomycetes, dothideomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Equine arteritis virus (strain Bucyrus),"Alphaarterivirus equid, Alphaarterivirus, Equarterivirinae, Arteriviridae, Arnidovirineae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae, Riboviria, Viruses"
Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155),"Mycolicibacterium, Mycobacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Sinorhizobium sp,"unclassified Sinorhizobium, Sinorhizobium, Sinorhizobium/Ensifer group, Rhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Bacillus sp. (strain PS3),"unclassified Bacillus (in: Bacteria), Bacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Human respiratory syncytial virus B (strain B1),"Human respiratory syncytial virus B, Human respiratory syncytial virus, Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Lactococcus lactis subsp. lactis (strain IL1403),"Lactococcus lactis, Lactococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Human herpesvirus 6B (strain Z29),"Roseolovirus, Betaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Bartonella quintana (strain Toulouse),"Bartonella, Bartonellaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12),"Dictyoglomus, Dictyoglomaceae, Dictyoglomales, Dictyoglomia, Dictyoglomi, Bacteria, cellular organisms"
Haloferax gibbonsii,"Haloferax, Haloferacaceae, Haloferacales, Halobacteria, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms"
Prochlorothrix hollandica,"Prochlorothrix, Prochlorotrichaceae, Pseudanabaenales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Alkalihalobacillus clausii (strain KSM-K16),"Alkalihalobacillus clausii, Alkalihalobacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),"Saccharophagus, Cellvibrionaceae, Cellvibrionales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1),"Rhodopirellula baltica, Rhodopirellula, Pirellulaceae, Pirellulales, Planctomycetia, Planctomycetes, PVC group, Bacteria, cellular organisms"
Oryza sativa subsp. indica,"Oryza sativa, Oryza, Oryzinae, Oryzeae, Oryzoideae, BOP clade, Poaceae, Poales, commelinids, Petrosaviidae, Liliopsida, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Narcissus mosaic virus,"Potexvirus, Alphaflexiviridae, Tymovirales, Alsuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Amia calva,"Amia, Amiidae, Amiiformes, Holostei, Neopterygii, Actinopteri, Actinopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e),"Listeria monocytogenes, Listeria, Listeriaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Mycoplasma capricolum subsp. capricolum (strain California kid / ATCC 27343 / NCTC 10154),"Mycoplasma capricolum, Mycoplasma mycoides group, Mycoplasma, Mycoplasmataceae, Mycoplasmatales, Mollicutes, Tenericutes, Terrabacteria group, Bacteria, cellular organisms"
Saimiriine herpesvirus 2 (strain 11),"Rhadinovirus, Gammaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Weissella koreensis (strain KACC 15510),"Weissella, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Human herpesvirus 8 type P (isolate GK18),"Human herpesvirus 8, Rhadinovirus, Gammaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081),NotFound
Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / CNB-440),"Salinispora, Micromonosporaceae, Micromonosporales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp),"Buchnera aphidicola (Baizongia pistaciae), Buchnera aphidicola, Buchnera, Erwiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Acropora millepora,"Acropora, Acroporidae, Astrocoeniina, Scleractinia, Hexacorallia, Anthozoa, Cnidaria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),"Escherichia coli, Escherichia, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094),"Brucella melitensis bv. 1, Brucella melitensis, Brucella, Brucella/Ochrobactrum group, Brucellaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Clostridium perfringens (strain SM101 / Type A),"Clostridium, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Volvox carteri,"Volvox, Volvocaceae, Chlamydomonadales, CS clade, Chlorophyceae, core chlorophytes, Chlorophyta, Viridiplantae, Eukaryota, cellular organisms"
Drosophila melanogaster sigma virus (isolate Drosophila/USA/AP30/2005),"Drosophila melanogaster sigmavirus, Sigmavirus, Alpharhabdovirinae, Rhabdoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Mycoplasma penetrans (strain HF-2),"Malacoplasma, Mycoplasmoidaceae, Mycoplasmoidales, Tenericutes, Terrabacteria group, Bacteria, cellular organisms"
Escherichia coli,"Escherichia, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Giardia intestinalis,"Giardia, Giardiinae, Hexamitidae, Diplomonadida, Fornicata, Metamonada, Eukaryota, cellular organisms"
Penicillium simplicissimum,"Penicillium, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Prochlorococcus marinus (strain NATL1A),"Prochlorococcus, Prochlorococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239),"Lodderomyces, Candida/Lodderomyces clade, Debaryomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Thraustochytrium sp,"unclassified Thraustochytrium, Thraustochytrium, Thraustochytriaceae, Thraustochytrida, Labyrinthulomycetes, Bigyra, Stramenopiles, Sar, Eukaryota, cellular organisms"
Pseudomonas phage Pf3,"Pseudomonas virus Pf3, Tertilicivirus, Inoviridae, Tubulavirales, Faserviricetes, Hofneiviricota, Loebvirae, Monodnaviria, Viruses"
